ORIGIN_AIRPORT_ID,CODE,NAME,AIRLINE_ID,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE,Description,2019,2020,2021,2022
10155,ACT,"Waco, TX: Waco Regional",20304.0,SkyWest Airlines Inc.,631,Canadair RJ-700,697.0,1895.0,38.0,7674.0
10155,ACT,"Waco, TX: Waco Regional",20304.0,SkyWest Airlines Inc.,673,Embraer ERJ-175,60.0,,,
10155,ACT,"Waco, TX: Waco Regional",20366.0,ExpressJet Airlines LLC d/b/a aha!,675,Embraer-145,0.0,0.0,,
10155,ACT,"Waco, TX: Waco Regional",20378.0,Mesa Airlines Inc.,673,Embraer ERJ-175,33.0,111.0,,
10155,ACT,"Waco, TX: Waco Regional",20398.0,Envoy Air,673,Embraer ERJ-175,3996.0,1122.0,1965.0,1784.0
10155,ACT,"Waco, TX: Waco Regional",20398.0,Envoy Air,675,Embraer-145,11835.0,11092.0,41145.0,44154.0
10155,ACT,"Waco, TX: Waco Regional",20398.0,Envoy Air,676,Embraer-140,44996.0,12720.0,3586.0,
10155,ACT,"Waco, TX: Waco Regional",20422.0,Sun Country Airlines d/b/a MN Airlines,614,Boeing 737-800,80.0,137.0,,
10155,ACT,"Waco, TX: Waco Regional",20452.0,Republic Airline,677,Embraer-Emb-170,68.0,,,
10157,ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",20304.0,SkyWest Airlines Inc.,629,Canadair RJ-200ER /RJ-440,64704.0,24363.0,13759.0,32288.0
10157,ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",20304.0,SkyWest Airlines Inc.,631,Canadair RJ-700,5390.0,37.0,12044.0,9437.0
10157,ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",20304.0,SkyWest Airlines Inc.,673,Embraer ERJ-175,16043.0,13624.0,49492.0,51375.0
10158,ACY,"Atlantic City, NJ: Atlantic City International",19805.0,American Airlines Inc.,698,Airbus Industrie A319,128.0,,,
10158,ACY,"Atlantic City, NJ: Atlantic City International",19805.0,American Airlines Inc.,699,Airbus Industrie A321/Lr,102.0,,69.0,
10158,ACY,"Atlantic City, NJ: Atlantic City International",19930.0,Alaska Airlines Inc.,888,Boeing 737-900ER,154.0,,,
10158,ACY,"Atlantic City, NJ: Atlantic City International",19977.0,United Air Lines Inc.,888,Boeing 737-900ER,174.0,,,
10158,ACY,"Atlantic City, NJ: Atlantic City International",20409.0,JetBlue Airways,678,Embraer 190,87.0,,272.0,
10158,ACY,"Atlantic City, NJ: Atlantic City International",20409.0,JetBlue Airways,694,Airbus Industrie A320-100/200,688.0,113.0,964.0,410.0
10158,ACY,"Atlantic City, NJ: Atlantic City International",20409.0,JetBlue Airways,699,Airbus Industrie A321/Lr,642.0,,688.0,196.0
10158,ACY,"Atlantic City, NJ: Atlantic City International",20416.0,Spirit Air Lines,694,Airbus Industrie A320-100/200,170392.0,44181.0,188579.0,143922.0
10158,ACY,"Atlantic City, NJ: Atlantic City International",20416.0,Spirit Air Lines,698,Airbus Industrie A319,39018.0,13527.0,55118.0,171832.0
10158,ACY,"Atlantic City, NJ: Atlantic City International",20416.0,Spirit Air Lines,699,Airbus Industrie A321/Lr,283277.0,96438.0,9391.0,34648.0
10158,ACY,"Atlantic City, NJ: Atlantic City International",20416.0,Spirit Air Lines,722,Airbus Industrie A320-200n,27879.0,56940.0,143163.0,61307.0
10158,ACY,"Atlantic City, NJ: Atlantic City International",21712.0,Elite Airways LLC,631,Canadair RJ-700,71.0,,,
10185,AEX,"Alexandria, LA: Alexandria International",19977.0,United Air Lines Inc.,614,Boeing 737-800,87.0,,143.0,
10185,AEX,"Alexandria, LA: Alexandria International",20304.0,SkyWest Airlines Inc.,629,Canadair RJ-200ER /RJ-440,1052.0,3599.0,159.0,1984.0
10185,AEX,"Alexandria, LA: Alexandria International",20363.0,Endeavor Air Inc.,629,Canadair RJ-200ER /RJ-440,51517.0,21858.0,31977.0,30614.0
10185,AEX,"Alexandria, LA: Alexandria International",20363.0,Endeavor Air Inc.,631,Canadair RJ-700,272.0,,35.0,1160.0
10185,AEX,"Alexandria, LA: Alexandria International",20363.0,Endeavor Air Inc.,638,Canadair CRJ 900,188.0,182.0,864.0,4152.0
10185,AEX,"Alexandria, LA: Alexandria International",20366.0,ExpressJet Airlines LLC d/b/a aha!,675,Embraer-145,29372.0,7634.0,,
10185,AEX,"Alexandria, LA: Alexandria International",20378.0,Mesa Airlines Inc.,673,Embraer ERJ-175,0.0,,,0.0
10185,AEX,"Alexandria, LA: Alexandria International",20398.0,Envoy Air,675,Embraer-145,4928.0,15525.0,34319.0,25346.0
10185,AEX,"Alexandria, LA: Alexandria International",20398.0,Envoy Air,676,Embraer-140,31395.0,13180.0,1146.0,
10208,AGS,"Augusta, GA: Augusta Regional at Bush Field",19790.0,Delta Air Lines Inc.,608,Boeing 717-200,19641.0,14559.0,26781.0,5169.0
