ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,category,EAS,diff,pct_change,change_category
12891,LAW,OK,Lawton-Fort Sill Regional,Lawton/Fort Sill,10k-100k,no,loss,-13.9,at least -10%
12892,LAX,CA,Los Angeles International,Los Angeles,more than 5 million,no,loss,-23.3,at least -20%
12896,LBB,TX,Lubbock Preston Smith International,Lubbock,100k-1 million,no,loss,-16.8,at least -10%
12898,LBE,PA,Arnold Palmer Regional,Latrobe,100k-1 million,no,loss,-19.7,at least -10%
12899,LBF,NE,North Platte Regional Airport Lee Bird Field,North Platte,10k-100k,yes,gain,7,less than 10%
12902,LBL,KS,Liberal Mid-America Regional,Liberal,less than 10k,yes,loss,-1.3,less than -10%
12915,LCH,LA,Lake Charles Regional,Lake Charles,10k-100k,no,loss,-11.2,at least -10%
12917,LCK,OH,Rickenbacker International,Columbus,100k-1 million,no,loss,-6.3,less than -10%
12925,LDJ,NJ,Linden Airport,Linden,less than 10k,no,unchanged,,other
12932,LEB,NH,Lebanon Municipal,Lebanon-Hanover,10k-100k,yes,loss,-0.6,less than -10%
12945,LEX,KY,Blue Grass,Lexington,100k-1 million,no,loss,-27,at least -20%
12951,LFT,LA,Lafayette Regional Paul Fournet Field,Lafayette,100k-1 million,no,loss,-3.5,less than -10%
12953,LGA,NY,LaGuardia,New York,more than 5 million,no,loss,-2.9,less than -10%
12954,LGB,CA,Long Beach Airport,Long Beach,1-5 million,no,loss,-4.1,less than -10%
12992,LIT,AR,Bill and Hillary Clinton Nat Adams Field,Little Rock,1-5 million,no,loss,-18.8,at least -10%
13002,LKE,WA,Lake Union Terminal,Seattle,10k-100k,no,loss,-28.8,at least -20%
13024,LMT,OR,Crater Lake Klamath Regional,Klamath Falls,less than 10k,no,gain,,other
13029,LNK,NE,Lincoln Airport,Lincoln,100k-1 million,no,loss,-41.9,at least -30%
13032,LNS,PA,Lancaster Airport,Lancaster,less than 10k,yes,gain,2.4,less than 10%
13055,LPS,WA,Lopez Island Airport,Lopez Island,less than 10k,no,gain,,other
13061,LRD,TX,Laredo International,Laredo,10k-100k,no,loss,-19.8,at least -10%
13076,LSE,WI,La Crosse Regional,La Crosse,10k-100k,no,loss,-35,at least -30%
