ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,category,EAS,diff,pct_change,change_category,AIRLINE_ID,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE,Description,2019,2020,2021,2022
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19930,Alaska Airlines Inc.,839,Boeing B737 Max 900,,,,159.0
13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,loss,-25.7,at least -20%,20253,Cape Air,125,Cessna C-402/402A/402B,1161.0,1271.0,1796.0,1875.0
13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,loss,-25.7,at least -20%,21253,"Multi-Aero, Inc. d/b/a Air Choice One",415,Cessna C208B/Grand Caravan,1879.0,1493.0,690.0,45.0
13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,loss,-25.7,at least -20%,20500,GoJet Airlines LLC d/b/a United Express,530,Bombardier CRJ550,2310.0,13719.0,16677.0,5503.0
13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,loss,-25.7,at least -20%,19790,Delta Air Lines Inc.,608,Boeing 717-200,6998.0,2300.0,1629.0,2376.0
13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,loss,-25.7,at least -20%,19790,Delta Air Lines Inc.,612,Boeing 737-700/700LR/Max 7,2.0,2.0,,
13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,loss,-25.7,at least -20%,19977,United Air Lines Inc.,612,Boeing 737-700/700LR/Max 7,7479.0,2633.0,3789.0,5435.0
13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,loss,-25.7,at least -20%,19930,Alaska Airlines Inc.,612,Boeing 737-700/700LR/Max 7,37.0,,1.0,2.0
13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,loss,-25.7,at least -20%,19393,Southwest Airlines Co.,612,Boeing 737-700/700LR/Max 7,1.0,,6523.0,8686.0
13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,loss,-25.7,at least -20%,19805,American Airlines Inc.,614,Boeing 737-800,45232.0,16951.0,20994.0,32066.0
13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,loss,-25.7,at least -20%,19930,Alaska Airlines Inc.,614,Boeing 737-800,317.0,181.0,356.0,381.0
13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,loss,-25.7,at least -20%,19977,United Air Lines Inc.,614,Boeing 737-800,14039.0,6076.0,9301.0,12377.0
13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,loss,-25.7,at least -20%,19790,Delta Air Lines Inc.,614,Boeing 737-800,416.0,212.0,69.0,18.0
13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,loss,-25.7,at least -20%,20422,Sun Country Airlines d/b/a MN Airlines,614,Boeing 737-800,227.0,93.0,106.0,122.0
13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,loss,-25.7,at least -20%,19805,American Airlines Inc.,622,Boeing 757-200,9.0,1.0,,
13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,loss,-25.7,at least -20%,19977,United Air Lines Inc.,622,Boeing 757-200,817.0,271.0,260.0,717.0
13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,loss,-25.7,at least -20%,19790,Delta Air Lines Inc.,622,Boeing 757-200,9.0,1.0,234.0,227.0
13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,loss,-25.7,at least -20%,19977,United Air Lines Inc.,623,Boeing 757-300,5445.0,2663.0,3175.0,3059.0
13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,loss,-25.7,at least -20%,19977,United Air Lines Inc.,624,Boeing 767-400/ER,9.0,3.0,29.0,96.0
13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,loss,-25.7,at least -20%,19805,American Airlines Inc.,626,Boeing 767-300/300ER,113.0,17.0,,
13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,loss,-25.7,at least -20%,19977,United Air Lines Inc.,626,Boeing 767-300/300ER,308.0,349.0,505.0,327.0
13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,loss,-25.7,at least -20%,19805,American Airlines Inc.,627,Boeing 777-200ER/200LR/233LR,21.0,192.0,354.0,18.0
13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,loss,-25.7,at least -20%,19977,United Air Lines Inc.,627,Boeing 777-200ER/200LR/233LR,1735.0,969.0,822.0,1618.0
13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,loss,-25.7,at least -20%,20046,Air Wisconsin Airlines Corp,629,Canadair RJ-200ER /RJ-440,36767.0,17192.0,24153.0,26402.0
13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,loss,-25.7,at least -20%,20304,SkyWest Airlines Inc.,629,Canadair RJ-200ER /RJ-440,22803.0,11622.0,14732.0,15851.0
13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,loss,-25.7,at least -20%,20363,Endeavor Air Inc.,629,Canadair RJ-200ER /RJ-440,1118.0,261.0,2.0,1.0
13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,loss,-25.7,at least -20%,20366,ExpressJet Airlines LLC d/b/a aha!,629,Canadair RJ-200ER /RJ-440,2186.0,,,
13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,loss,-25.7,at least -20%,20397,PSA Airlines Inc.,629,Canadair RJ-200ER /RJ-440,9.0,,,
13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,loss,-25.7,at least -20%,20304,SkyWest Airlines Inc.,631,Canadair RJ-700,25213.0,14504.0,18378.0,12975.0
13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,loss,-25.7,at least -20%,20397,PSA Airlines Inc.,631,Canadair RJ-700,487.0,,1.0,
13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,loss,-25.7,at least -20%,20398,Envoy Air,631,Canadair RJ-700,7768.0,,,
13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,loss,-25.7,at least -20%,20500,GoJet Airlines LLC d/b/a United Express,631,Canadair RJ-700,8003.0,549.0,,
13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,loss,-25.7,at least -20%,19930,Alaska Airlines Inc.,634,Boeing 737-900,161.0,87.0,164.0,144.0
13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,loss,-25.7,at least -20%,19977,United Air Lines Inc.,634,Boeing 737-900,190.0,22.0,1.0,80.0
13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,loss,-25.7,at least -20%,19805,American Airlines Inc.,637,Boeing 777-300/300ER/333ER,8.0,13.0,13.0,1.0
13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,loss,-25.7,at least -20%,19977,United Air Lines Inc.,637,Boeing 777-300/300ER/333ER,13.0,82.0,354.0,298.0
13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,loss,-25.7,at least -20%,20363,Endeavor Air Inc.,638,Canadair CRJ 900,1147.0,1118.0,705.0,818.0
13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,loss,-25.7,at least -20%,20397,PSA Airlines Inc.,638,Canadair CRJ 900,11.0,1.0,1.0,2.0
13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,loss,-25.7,at least -20%,20304,SkyWest Airlines Inc.,638,Canadair CRJ 900,732.0,949.0,1661.0,360.0
