ORIGIN_AIRPORT_ID,ORIGIN_STATE_ABR,CODE,NAME,AIRLINE_ID,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE,Description,2019,2020,2021,2022
11292,CO,DEN,"Denver, CO: Denver International",19790,Delta Air Lines Inc.,608,Boeing 717-200,1777,,,
11292,CO,DEN,"Denver, CO: Denver International",19393,Southwest Airlines Co.,612,Boeing 737-700/700LR/Max 7,46754,34868,39357,45364
11292,CO,DEN,"Denver, CO: Denver International",19930,Alaska Airlines Inc.,612,Boeing 737-700/700LR/Max 7,1,9,11,14
11292,CO,DEN,"Denver, CO: Denver International",19977,United Air Lines Inc.,612,Boeing 737-700/700LR/Max 7,18,25,13,15
11292,CO,DEN,"Denver, CO: Denver International",20422,Sun Country Airlines d/b/a MN Airlines,612,Boeing 737-700/700LR/Max 7,24,,,6
11292,CO,DEN,"Denver, CO: Denver International",19393,Southwest Airlines Co.,614,Boeing 737-800,22374,23926,30608,30909
11292,CO,DEN,"Denver, CO: Denver International",19790,Delta Air Lines Inc.,614,Boeing 737-800,2608,1535,1353,2065
11292,CO,DEN,"Denver, CO: Denver International",19805,American Airlines Inc.,614,Boeing 737-800,3481,2584,3227,2419
11292,CO,DEN,"Denver, CO: Denver International",19930,Alaska Airlines Inc.,614,Boeing 737-800,60,129,314,409
11292,CO,DEN,"Denver, CO: Denver International",19977,United Air Lines Inc.,614,Boeing 737-800,15717,8292,13663,21097
11292,CO,DEN,"Denver, CO: Denver International",20422,Sun Country Airlines d/b/a MN Airlines,614,Boeing 737-800,293,245,292,347
11292,CO,DEN,"Denver, CO: Denver International",19790,Delta Air Lines Inc.,622,Boeing 757-200,28,187,367,249
11292,CO,DEN,"Denver, CO: Denver International",19805,American Airlines Inc.,622,Boeing 757-200,15,1,,
11292,CO,DEN,"Denver, CO: Denver International",19977,United Air Lines Inc.,622,Boeing 757-200,2204,946,1340,2017
11292,CO,DEN,"Denver, CO: Denver International",19977,United Air Lines Inc.,623,Boeing 757-300,2867,2074,2551,1802
11292,CO,DEN,"Denver, CO: Denver International",19790,Delta Air Lines Inc.,623,Boeing 757-300,2,2,17,102
